date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:39	118/118	---MC-	200	added ('OK')	text/plain	date:Sun,%2003%20Jul%202022%2003:06:26%20GMT	https://www.omnigeometry.com/robots.txt		(from )
23:06:40	291336/291336	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Jul%202022%2003:06:27%20GMT	https://www.omnigeometry.com/	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/index.html	(from )
23:06:41	6224/6224	---M--	200	added ('OK')	image/webp	date:Thu,%2003%20Mar%202022%2017:56:30%20GMT	https://www.omnigeometry.com/wp-content/uploads/2018/05/OmniGeometry-Logo-BW.webp	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-content/uploads/2018/05/OmniGeometry-Logo-BW.webp	(from https://www.omnigeometry.com/)
23:06:41	3795/3795	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202022%2018:09:32%20GMT	https://www.omnigeometry.com/wp-content/plugins/op-builder/public/assets/css/op3-reboot.css?ver=6.0	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-content/plugins/op-builder/public/assets/css/op3-rebootf049.css	(from https://www.omnigeometry.com/)
23:06:43	89521/89521	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2015:07:24%20GMT	https://www.omnigeometry.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.omnigeometry.com/)
23:06:43	473843/473843	---M--	200	added ('OK')	text/css	date:Sat,%2002%20Jul%202022%2021:09:44%20GMT	https://www.omnigeometry.com/wp-content/plugins/op-builder/public/assets/cache/page-3376.css?ver=9ef5eda2919aad7e8f8e6d3b7b321908	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-content/plugins/op-builder/public/assets/cache/page-337670ba.css	(from https://www.omnigeometry.com/)
23:06:43	747/747	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2002%20Jul%202022%2021:09:33%20GMT	https://www.omnigeometry.com/comments/feed/	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/comments/feed/index.html	(from https://www.omnigeometry.com/)
23:06:43	263712/263712	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2002%20Jul%202022%2021:09:33%20GMT	https://www.omnigeometry.com/feed/	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/feed/index.html	(from https://www.omnigeometry.com/)
23:06:43	11224/11224	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://www.omnigeometry.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.omnigeometry.com/)
23:06:43	780/780	---M--	200	added ('OK')	application/javascript	date:Thu,%2016%20Jun%202022%2018:10:56%20GMT	https://www.omnigeometry.com/wp-content/plugins/op-dashboard/public/assets/js/tracking.js?ver=1.0.74	C:/Users/Owner/OneDrive/Desktop/ryan/Omnigeometry/Omnigeometry/www.omnigeometry.com/wp-content/plugins/op-dashboard/public/assets/js/tracking2ae4.js	(from https://www.omnigeometry.com/)
